#;Indicator_BHS;Indicator English;Focus Group;Concept;M;F;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
190;Postoje organizovani izleti na rijeke;The young people marry each other;men;peace;1;0;0;1;6.2;6.9;;6;2;Personal Relationships;6;9;Ethno-religious identity;Culture & Society;Culture & Society;1;0;0.413043478;1.838709677;0;0;0.355072464;0.355072464
281;U Mostaru svaka mahala ima svoju škvadru, koja se zeza s drugim mahalama bez sukoba.;Each neighborhood has its own gang just to tease others without conflict;men;peace;0;1;0;1;6.3;1;;6;3;Social Trust;1;0;Integration and Acceptance;Culture & Society;Culture & Society;-1;0;0.413043478;0;1.062111801;0;0.355072464;0.255813953
225;Stanovnici doseljeni iz drugih mjesta i starosjedioci u Podhumu se lijepo slažu;People who moved from other places and the ones already living in Podhum get along well;women;peace;0;2;0;2;6.3;6.12;;6;3;Social Trust;6;12;Neighbor Relations;Culture & Society;Culture & Society;-2;0;0.826086957;0;2.124223602;0;0.710144928;0.710144928
230;Starosjedioci u Podhumu ne gledaju ko je koje vjere.;The residents of Podhum don't look at who is what religion.;women;peace;2;2;1;5;6.3;6.9;;6;3;Social Trust;6;9;Ethno-religious identity;Culture & Society;Culture & Society;0;1;2.065217391;3.677419355;2.124223602;1.06875;1.775362319;1.775362319
279;U Mostaru se svi ljudi paze, bez obzira na njihovu vjeru.;People in Mostar take care of each other regardless of their religion;women;peace;0;1;1;2;6.3;6.9;;6;3;Social Trust;6;9;Ethno-religious identity;Culture & Society;Culture & Society;-1;0;0.826086957;0;1.062111801;1.06875;0.710144928;0.710144928
130;Možemo raditi šta želimo, bez da ugrožavamo nekoga, bez obzira na to gdje se nalazimo.;We can do what we want, without endangering anyone, no matter where we are.;youth;peace;0;0;1;1;6.3;;;6;3;Social Trust;0;0;0;Culture & Society;0;0;0;0.413043478;0;0;1.06875;0.355072464;0
101;Ljudi u Mostaru ne govore „istočna i zapadna strana“.;"People in Mostar don't use the terms ""east side"" and ""west side""";men;peace;1;3;1;5;6.8;6.1;;6;8;Language;6;10;Us V Them;Culture & Society;Culture & Society;-2;1;2.065217391;1.838709677;3.186335404;1.06875;1.775362319;1.775362319
132;Multietičnost je bogatstvo Mostara, jer se ljudi uvažavaju.;Multiethnicity is the wealth of Mostar, because people respect each other.;men;peace;0;1;1;2;6.9;1.1;;6;9;Ethno-religious identity;1;10;Personal value;Culture & Society;Culture & Society;-1;0;0.826086957;0;1.062111801;1.06875;0.710144928;0.511627907
8;Razdvajanje ljudi na nacionalnoj osnovi čovjeku iz Podhuma tjera suze na oči.;The separation of people on a national basis brings tears to the eyes of the man from Podhum.;men;peace;0;0;2;2;6.9;6.1;;6;9;Ethno-religious identity;6;10;Us V Them;Culture & Society;Culture & Society;0;0;0.826086957;0;0;2.1375;0.710144928;0.710144928
208;Ratni vojni invalid nema ništa protiv da 9 mahala u Mostaru ima različita mišljenja, ali nije za to da dođe do konflikta izmedju mahala.;A disabled war veteran does not mind that 9 mahalas in Mostar have different opinions, but he is not in favor of a conflict between mahalas.;men;peace;0;0;1;1;6.9;6.1;;6;9;Ethno-religious identity;6;10;Us V Them;Culture & Society;Culture & Society;0;0;0.413043478;0;0;1.06875;0.355072464;0.355072464
