#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
114;Roditelji uče djecu da poštoju druge;Parents teach children to respect others.;women;peace;2.0;1.0;;3;6.6;19.5;;6;6.0;Inter-generational Relations;19;5;Family-based Education;Culture & Society;Rights & Dignity;1.0;1.0;0.792043;1.512953;0.744898;0.0;0.131453;1.363636
115;TV i ostali mediji ne potpiruju tenzije;Television and other forms of media do not contribute to the escalation of tensions.;men;peace;3.0;;;3;13.0;2.2;;13;0.0;Media;2;2.0;Confidence;Culture & Society;Security;3.0;3.0;0.792043;2.26943;0.0;0.0;12.166667;0.836066
131;Nema sukoba na istočnoj ili zapadnoj strani;There is no conflict on the east or the west side of town.;youth;peace;;;2.0;2;2.1;;;2;10.0;Sense of safety;0;0;0;Security;0;0.0;2.0;0.528029;0.0;0.0;1.780488;0.281581;0.0
132;U jednom okruženju osjećamo se sigurno i prihvaćeno;In one environment we feel protected and accepted.;youth;peace;;;2.0;2;2.2;;;2;2.0;Confidence;0;0;0;Security;0;;;0.528029;0.0;0.0;1.780488;0.281581;0.0
133;Svi ljudi u Blagaj, iako različitih vjeroispovijesti udružuju se da bi se pokazalo da su svi ljudi dobro došli kod nas;All the people in Blagaj, even if they are of different faiths, come together to show that all people are warmly welcome in Blagaj.;youth;peace;;1.0;1.0;2;6.9;1.0;;6;9.0;Ethno-religious identity;1;0;Integration and Acceptance;Culture & Society;Culture & Society;-1.0;1.0;0.528029;0.0;0.744898;0.890244;0.087635;0.452174
134;Ljudi imaju svoj identitet i nacionalno su osviješteni i to nije problem;People have their own identity and are ethnically aware and that is not a problem.;men;peace;;;2.0;2;1.0;6.9;;1;0.0;Integration and Acceptance;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;0.0;2.0;0.528029;0.0;0.0;1.780488;0.097659;0.693878
135;Nema zastava Herceg-Bosne kod Mepasa;There are no Herceg-Bosnia flags near Mepas Mall.;men;peace;1.0;;1.0;2;7.1;8.5;;7;10.0;Memorialization;8;5;Political Symbols;Dealing with the Past;Culture & Society;1.0;1.0;0.528029;0.756477;0.0;0.890244;0.522361;0.347826
136;Ljudi žele da podnesu kritiku;People want to be able to handle criticism.;women;peace;1.0;1.0;;2;1.1;;;1;10.0;Personal value;0;0;0;Culture & Society;0;0.0;1.0;0.528029;0.756477;0.744898;0.0;0.097659;0.0
137;Svim ljudima je potreban prostor za kvalitetnu komunikaciju;It is important for everyone to have a place for quality communication..;women;peace;2.0;;;2;3.0;6.11;;3;0.0;Public space;6;11.0;Cooperation & Coexistence;Culture & Society;Culture & Society;;;0.528029;1.512953;0.0;0.0;0.297959;0.693878
138;Bošnjačka porodica iz Blagaja ima prijatelje Katoličke vjeroispovjesti;A Bosniak family from Blagaj has Catholic friends.;women;peace;1.0;1.0;;2;6.2;6.9;;6;2.0;Personal relationships;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;;;0.528029;0.756477;0.744898;0.0;0.087635;0.693878
139;Da se katoličke i pravoslane porodice ne osjećaju sigurnim, ne bi se poslije rata vratili u Blagaj.;If Catholic and Orthodox families did not feel safe, they would not return to Blagaj after the war.;women;peace;2.0;;;2;7.2;2.2;;7;2.0;Returns;2;2.0;Confidence;Dealing with the Past;Security;;;0.528029;1.512953;0.0;0.0;0.522361;0.557377
140;U Blajgaju nema sukoba između povratničkih porodica i mještana;There is no conflict between returnee families and locals in Blagaj;women;peace;;;2.0;2;7.2;2.1;;7;2.0;Returns;2;10.0;Sense of safety;Dealing with the Past;Security;;;0.528029;0.0;0.0;1.780488;0.522361;0.557377
141;U Blagaju aktivno djeluju 3 vjerske institucije (muslimanska, katolička i pravoslavna);There are 3 active religious institutions in Blagaj (Muslim, Catholic and Orthodox);men;peace;1.0;1.0;;2;14.3;1.0;;14;3.0;Religious beliefs and practices;1;0;Integration and Acceptance;Culture & Society;Culture & Society;;;0.528029;0.756477;0.744898;0.0;1.520833;0.452174
142;U Blagaju se mnogo radi sa turističkim potencijalom koji postoji u okolini;In Blagaj a lot is being done with the tourism potential which exists in the surrounding.;youth;peace;1.0;1.0;;2;20.4;;;20;4.0;Tourism;0;0;0;Economic Activity & Livelihoods;0;;;0.528029;0.756477;0.744898;0.0;0.343529;0.0
143;Ljudi u Blagaju imaju takvo mjesto za smeće gdje lutalice ne mogu da otvaraju kese;People in Blagaj have such a space for trash where stray dogs cannot open the bags.;youth;peace;;;2.0;2;18.1;10.7;;18;10.0;Waste management Services;10;7.0;Animals;Rights & Dignity;Rights & Dignity;;;0.528029;0.0;0.0;1.780488;0.243333;0.578947
144;Amputirani dijelovi tijela ne idu u isti otpad kao normalno, obično smeće;Amputated bodily parts don't go in the same trash like normal, regular trash.;youth;peace;;2.0;;2;18.1;23.2;2022-02-12 00:00:00;18;10.0;Waste management Services;23;2.0;0;Rights & Dignity;Rights & Dignity;;;0.528029;0.0;1.489796;0.0;0.243333;0.3
145;Blagaj ima policajca 24 sata na ulicama da prati dešavanja;Blagaj has a police officer 24-hours a day on the street to follow happenings.;youth;peace;;;2.0;2;5.0;2.2;;5;0.0;Police;2;2.0;Confidence;Armed Actors;Security;;;0.528029;0.0;0.0;1.780488;2.654545;0.557377
