#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
125;Više se ne priča da su djeca zadojena mržnjom zbog nečega što se desilo prije nego što su njihovi roditelji bili rođeni.;It is no longer spoken about that children are infested with hatred because of something that happened before their parents were born.;women;peace;;;5.0;5;7.5;15.5;;7;5.0;Reconciliation;15;5;Inclusion;Dealing with the Past;Culture & Society;0;5;1.150794;0.0;0.0;2.301587;8.826087;0.740741
126;Teta u vrtiću „Sportić“ blizu Merkatora ne kaže mami Bošnjakinji koja želi da upiše svoje dijete tu, da će njena curica morati bojiti Hrvatsku zastavu.;"The worker at kindergarten ""Sportić"" near shopping mall Merkator doesn't say to a Bosniak mother, who wants to sign up their kid to go there, that her little girl will have to color in a Croatian flag.";women;peace;;;5.0;5;19.3;8.5;;19;3.0;School inclusiveness;8;5;Political Symbols;Rights & Dignity;Culture & Society;0;5;1.150794;0.0;0.0;2.301587;0.349518;1.5
127;U Mostaru nema sukoba na nacionalnoj osnovi.;In Mostar there are no conflicts based on nationality.;men;peace;2.0;2.0;1.0;5;6.1;4.4;;6;10.0;Us V Them;4;4.0;Violent Crime;Culture & Society;Rights & Dignity;0;1;1.150794;1.592157;2.182796;0.460317;0.085215;0.807692
128;Postavljene su kamere u Zaliku koje osiguravaju da vozači poštuju propise.;Cameras were installed around Zalik which make sure that the drivers are following the rules.;men;peace;2.0;2.0;1.0;5;2.4;21.2;;2;4.0;Technology;21;1900-01-02 00:00:00;Traffic;Security;Culture & Society;0;1;1.150794;1.592157;2.182796;0.460317;0.585352;1.065574
129;Ljudi koji žive na Strelištu imaju kanalizaciju.;People who live at Strelište (Shooting range) have sewage.;men;peace;3.0;1.0;1.0;5;10.6;17.0;;10;6.0;Public utilities;17;0;Infrastructure;Rights & Dignity;Economic Activity & Livelihoods;2;1;1.150794;2.388235;1.091398;0.460317;1.321615;0.961538
130;Kontejneri u Gornjem Zaliku ne predstavljaju izvor zaraze.;The trash cans in Gornji Zalik (Upper Zalik) aren't a source of any infections.;men;peace;2.0;2.0;1.0;5;10.6;18.1;;10;6.0;Public utilities;18;10.0;Waste management Services;Rights & Dignity;Rights & Dignity;0;1;1.150794;1.592157;2.182796;0.460317;1.321615;0.918367
131;Ljudi koji žive u Gornjem Zaliku su zadovoljni što se njihovo smeće odvozi 2 puta sedmično.;People who live in Gornji Zalik (Upper Zalik) are pleased that their trash is being picked up twice a week.;men;peace;;2.0;3.0;5;10.6;18.1;;10;6.0;Public utilities;18;10.0;Waste management Services;Rights & Dignity;Rights & Dignity;-2;2;1.150794;0.0;2.182796;1.380952;1.321615;0.918367
132;Čovjek nije poginuo u ruševini u Mostaru prije par dana, jer su ruševine uklonjene.;A man didn't die in the ruins of a building in Mostar a few days ago because the building ruins were removed;men;peace;2.0;;3.0;5;7.7;2.1;;7;7.0;Infrastructure;2;10.0;Sense of safety;Dealing with the Past;Security;2;2;1.150794;1.592157;0.0;1.380952;8.826087;0.833333
133;MZ Zalik organizuje redovne sastanke sa stanovništvom.;The MZ Zalik organizes regular meetings with the residents.;women;peace;;4.0;1.0;5;9.6;;;9;6.0;Mjesna zajednica;0;0;0;Rights & Dignity;0;-4;1;1.150794;0.0;4.365591;0.460317;0.686275;0.0
134;Gradska uprava realizuje prijedloge koje daju stanovnici MZ Zalik.;The City Administration implements the proposals given by the residents of the MZ Zalik.;women;peace;1.0;3.0;1.0;5;9.6;9.3;;9;6.0;Mjesna zajednica;9;3.0;Political functionality;Rights & Dignity;Rights & Dignity;-2;1;1.150794;0.796078;3.274194;0.460317;0.686275;0.977011
135;Štićenik Doma za nezbrinutu djecu može na vrijeme da ode na operaciju, jer mu je Centra za socijalni rad izdao zdravstvenu knjižicu.;The protege of the Home for Orphans can go for surgery on time, because the Center for Social Work issued him health insurance.;men;peace;5.0;;;5;23.2;9.3;2.12.22;23;2.0;0;9;3.0;Political functionality;Rights & Dignity;Rights & Dignity;5;5;1.150794;3.980392;0.0;0.0;4.833333;0.977011
136;Ljudima koji nas vode je u interesu da se smiri politička situacija u Mostaru.;It is in the interest of the people leading us that the political situation in Mostar calms down.;men;peace;3.0;2.0;;5;9.5;9.3;;9;5.0;Political coexistence;9;3.0;Political functionality;Rights & Dignity;Rights & Dignity;1;2;1.150794;2.388235;2.182796;0.0;0.686275;0.977011
